  0.10 |   0.90 |   0.10 |      1 |    2375.00 |    3225.00 |     850.00 | 
  0.10 |   0.90 |   0.10 |      3 |    2375.00 |    2925.00 |     550.00 | 
  0.10 |   0.90 |   0.10 |      5 |    2375.00 |    2750.00 |     375.00 | 
  0.10 |   0.90 |   0.10 |     10 |    2375.00 |    2750.00 |     375.00 | 
  0.10 |   0.90 |   0.10 |     30 |    2375.00 |    2525.00 |     150.00 | 
  0.10 |   0.90 |   0.10 |     60 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.10 |    100 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.10 |    150 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.10 |    200 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.10 |    300 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.20 |      1 |    2375.00 |    4000.00 |    1625.00 | 
  0.10 |   0.90 |   0.20 |      3 |    2375.00 |    2775.00 |     400.00 | 
  0.10 |   0.90 |   0.20 |      5 |    2375.00 |    2850.00 |     475.00 | 
  0.10 |   0.90 |   0.20 |     10 |    2375.00 |    2625.00 |     250.00 | 
  0.10 |   0.90 |   0.20 |     30 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.20 |     60 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.20 |    100 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.20 |    150 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.20 |    200 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.20 |    300 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.30 |      1 |    2375.00 |    2750.00 |     375.00 | 
  0.10 |   0.90 |   0.30 |      3 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.30 |      5 |    2375.00 |    2825.00 |     450.00 | 
  0.10 |   0.90 |   0.30 |     10 |    2375.00 |    2875.00 |     500.00 | 
  0.10 |   0.90 |   0.30 |     30 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.30 |     60 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.30 |    100 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.30 |    150 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.30 |    200 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.30 |    300 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |      1 |    2375.00 |    3225.00 |     850.00 | 
  0.10 |   0.90 |   0.40 |      3 |    2375.00 |    2750.00 |     375.00 | 
  0.10 |   0.90 |   0.40 |      5 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |     10 |    2375.00 |    2875.00 |     500.00 | 
  0.10 |   0.90 |   0.40 |     30 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |     60 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |    100 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |    150 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |    200 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.40 |    300 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.50 |      1 |    2375.00 |    2850.00 |     475.00 | 
  0.10 |   0.90 |   0.50 |      3 |    2375.00 |    2925.00 |     550.00 | 
  0.10 |   0.90 |   0.50 |      5 |    2375.00 |    2625.00 |     250.00 | 
  0.10 |   0.90 |   0.50 |     10 |    2375.00 |    2725.00 |     350.00 | 
  0.10 |   0.90 |   0.50 |     30 |    2375.00 |    2525.00 |     150.00 | 
  0.10 |   0.90 |   0.50 |     60 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.50 |    100 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.50 |    150 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.50 |    200 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.50 |    300 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.60 |      1 |    2375.00 |    2925.00 |     550.00 | 
  0.10 |   0.90 |   0.60 |      3 |    2375.00 |    2625.00 |     250.00 | 
  0.10 |   0.90 |   0.60 |      5 |    2375.00 |    2850.00 |     475.00 | 
  0.10 |   0.90 |   0.60 |     10 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.60 |     30 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.60 |     60 |    2375.00 |    2475.00 |     100.00 | 
  0.10 |   0.90 |   0.60 |    100 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.60 |    150 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.60 |    200 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.60 |    300 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.70 |      1 |    2375.00 |    2850.00 |     475.00 | 
  0.10 |   0.90 |   0.70 |      3 |    2375.00 |    2875.00 |     500.00 | 
  0.10 |   0.90 |   0.70 |      5 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.70 |     10 |    2375.00 |    2525.00 |     150.00 | 
  0.10 |   0.90 |   0.70 |     30 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.70 |     60 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.70 |    100 |    2375.00 |    2375.00 |       0.00 | 
  0.10 |   0.90 |   0.70 |    150 |    2375.00 |    2375.00 |       0.00 | 
